locus_id,population,ra,dec,n_det,num_mag_values,num_alerts,timespan_d,brightest_mag,n_distinct_ssname,frac_det_ssname,mag_minus_ssmagnr,ndethist_med,distnr_med_as,hist_span_d,stellar_cats,galaxy_cats,var_cats,tags,verdict,reason
ANT2020aorki,alerted,281.68505,-12.52878,746,746,1105,2978.9,14.05,1,0.01,3.5,935.0,0.1,2529.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;gaia_dr3_variability;vsx,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020aossi,alerted,278.2557,-9.36053,330,327,1554,2924.0,17.04,1,0.01,3.76,611.0,0.33,2331.0,2mass_psc;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,gaia_dr3_variability;vsx,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020aovxu,alerted,281.8278,-12.60913,807,807,1176,2924.0,16.01,6,0.01,4.0,915.5,0.22,2470.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,gaia_dr3_variability;vsx,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020apc6e,alerted,285.65005,-1.10501,998,998,1606,2974.8,12.21,1,0.0,7.7,1125,0.23,2394.0,2mass_psc;allwise;asassn_variable_catalog;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;gaia_dr3_variability;vsx,high_amplitude_variable_star_candidate;high_flux_ratio_wrt_nn;high_snr;lc_feature_extractor;matheson_extreme_vpdf;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020apde4,alerted,286.40227,-2.87823,1217,1217,1525,2982.9,12.24,2,0.0,1.68,1668.5,0.11,2413.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;gaia_dr3_variability;vsx,high_amplitude_variable_star_candidate;high_flux_ratio_wrt_nn;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020apgmg,alerted,282.83432,-6.12105,737,737,1602,2927.0,14.2,1,0.0,6.76,620.5,0.2,1623.0,2mass_psc;allwise;asassn_variable_catalog;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;gaia_dr3_variability;vsx,high_snr;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020aphka,alerted,282.88427,-12.4211,707,707,1201,2974.9,14.9,2,0.0,5.36,851.5,0.17,2301.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,gaia_dr3_variability;vsx,high_snr;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020apozc,alerted,287.04112,-2.21803,900,900,1225,2974.8,12.43,1,0.0,6.35,1000,0.22,1542.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,gaia_dr3_variability;vsx,high_flux_ratio_wrt_nn;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020aqfhi,alerted,292.67535,-7.45973,847,846,1074,2899.0,12.39,3,0.0,4.65,1096,0.12,2485.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;gaia_dr3_variability,high_amplitude_variable_star_candidate;high_flux_ratio_wrt_nn;high_snr;lc_feature_extractor;matheson_extreme_vpdf;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020aswv2,alerted,182.31548,-1.91231,548,548,888,2743.7,15.07,6,0.02,4.08,485,0.17,2408.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;csdr2;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;linear_ll;sdss_stars;vsx,nyu_valueadded_gals,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;csdr2;gaia_dr3_variability;linear_ll;vsx,desoto_classified;dwarf_nova_outburst;extragalactic;high_flux_ratio_wrt_nn;lc_feature_extractor;matheson_extreme_vpdf;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
